City,Pincode,Business_Category,Investment_Lakhs,Competitor_Count,Mall_Proximity,Footfall_Proxy,Rent,Youth_Pop_%,Female_Pop_%,Avg_Income,Population,Total_Area,Male_Pop_%,Success_Ratio
Mumbai,400001,Cafe,23,17,0,941,45414,37,46,72577,100445,518.7,54,0.83
Mumbai,400001,Watch,17,46,0,941,45414,37,46,72577,100445,518.7,54,0.76
Mumbai,400001,Bakery,11,7,0,941,45414,37,46,72577,100445,518.7,54,0.9
Mumbai,400001,Shoe,22,28,0,941,45414,37,46,72577,100445,518.7,54,0.78
Mumbai,400002,Cafe,26,24,1,1763,15574,26,46,23706,482517,853.8,54,0.83
Mumbai,400002,Watch,19,29,1,1763,15574,26,46,23706,482517,853.8,54,0.76
Mumbai,400002,Bakery,15,12,1,1763,15574,26,46,23706,482517,853.8,54,0.9
Mumbai,400002,Shoe,20,34,1,1763,15574,26,46,23706,482517,853.8,54,0.78
Mumbai,400003,Cafe,30,21,1,1996,18719,30,50,28547,154761,539.5,50,0.82
Mumbai,400003,Watch,17,35,1,1996,18719,30,50,28547,154761,539.5,50,0.75
Mumbai,400003,Bakery,14,17,1,1996,18719,30,50,28547,154761,539.5,50,0.89
Mumbai,400003,Shoe,24,36,1,1996,18719,30,50,28547,154761,539.5,50,0.77
Mumbai,400004,Cafe,19,32,1,2785,39483,31,49,67265,153757,283.4,51,0.82
Mumbai,400004,Watch,18,27,1,2785,39483,31,49,67265,153757,283.4,51,0.75
Mumbai,400004,Bakery,18,11,1,2785,39483,31,49,67265,153757,283.4,51,0.89
Mumbai,400004,Shoe,25,21,1,2785,39483,31,49,67265,153757,283.4,51,0.77
Mumbai,400005,Cafe,15,22,1,1934,28135,37,50,43496,356579,241.1,50,0.82
Mumbai,400005,Watch,13,38,1,1934,28135,37,50,43496,356579,241.1,50,0.75
Mumbai,400005,Bakery,10,17,1,1934,28135,37,50,43496,356579,241.1,50,0.89
Mumbai,400005,Shoe,14,26,1,1934,28135,37,50,43496,356579,241.1,50,0.77
Mumbai,400006,Cafe,16,25,1,2452,18997,32,48,25280,445938,522.8,52,0.82
